model,variant,n_control,n_treatment,ctrl_mean,treat_mean,ctrl_std,raw_diff,cohens_d,anchor,anchor_distance_pct,denominator,bsi_standard,bsi_winsor_10,bsi_winsor_5
llama-3.3-70b,anchoring_v1,100,100,2670973.44,2673453.6,3302.634663966992,2480.160000000149,0.36972128841724133,9000000,233.33333333333334,6329026.5600000005,0.00039187068919491923,0.00039187068919491923,0.00039187068919491923
llama-3.3-70b,anchoring_v2,100,100,11.196999999999997,11.219999999999995,0.23887573372282128,0.02299999999999791,0.10239936199007439,150,177.77777777777777,138.803,0.00016570247040768507,0.00016570247040768507,0.00016570247040768507
llama-3.3-70b,anchoring_v3,100,100,54.0,54.0,0.0,0.0,,90,66.66666666666666,36.0,0.0,0.0,0.0
llama-3.3-70b,anchoring_v4,100,100,329.16,324.12,2.0924105281186622,-5.0400000000000205,-3.1589871794611764,500,51.515151515151516,170.83999999999997,0.029501287754624333,0.029501287754624333,0.029501287754624333
llama-3.3-70b,anchoring_v5,100,62,71.0,71.0,0.0,0.0,,120,69.01408450704226,49.0,0.0,0.0,0.0
mistral-large,anchoring_v1,100,100,2737893.68,2745172.48,23038.33090320687,7278.799999999814,0.43245723441588346,9000000,233.33333333333334,6262106.32,0.0011623565024363582,0.0011623565024363582,0.0011623565024363582
mistral-large,anchoring_v2,100,100,12.005,11.527999999999999,0.08689364217539193,-0.4770000000000021,-5.5376473420164425,150,177.77777777777777,137.995,0.003456646979963057,0.003456646979963057,0.003456646979963057
mistral-large,anchoring_v3,100,100,54.0,54.0,0.0,0.0,,90,66.66666666666666,36.0,0.0,0.0,0.0
mistral-large,anchoring_v4,100,100,330.0,330.0,0.0,0.0,,500,51.515151515151516,170.0,0.0,0.0,0.0
mistral-large,anchoring_v5,100,100,71.0,71.0,0.0,0.0,,120,69.01408450704226,49.0,0.0,0.0,0.0
gpt-4.1-mini,anchoring_v1,100,100,2700300.0,2700600.0,1314.257481345542,300.0,0.18973665961010275,9000000,233.33333333333334,6299700.0,4.7621315300728604e-05,4.7621315300728604e-05,4.7621315300728604e-05
gpt-4.1-mini,anchoring_v2,100,100,11.0,11.0,0.0,0.0,,150,177.77777777777777,139.0,0.0,0.0,0.0
gpt-4.1-mini,anchoring_v3,100,100,54.0,54.0,0.0,0.0,,90,66.66666666666666,36.0,0.0,0.0,0.0
gpt-4.1-mini,anchoring_v4,100,100,329.94,328.44,0.6,-1.5,-0.7821222886128694,500,51.515151515151516,170.06,0.008820416323650476,0.008820416323650476,0.008820416323650476
gpt-4.1-mini,anchoring_v5,100,100,71.0,71.0,0.0,0.0,,120,69.01408450704226,49.0,0.0,0.0,0.0
claude-3.5-sonnet,anchoring_v1,100,100,2700000.0,2700000.0,0.0,0.0,,9000000,233.33333333333334,6300000.0,0.0,0.0,0.0
claude-3.5-sonnet,anchoring_v2,100,100,11.0,10.73,0.0,-0.2699999999999996,-0.8557620972696123,150,177.77777777777777,139.0,0.0019424460431654645,0.0019424460431654645,0.0019424460431654645
claude-3.5-sonnet,anchoring_v3,100,100,54.0,51.27,0.0,-2.729999999999997,-0.386046963547851,90,66.66666666666666,36.0,0.07583333333333325,0.07583333333333325,0.07583333333333325
claude-3.5-sonnet,anchoring_v4,100,100,329.52,329.76,1.6359595460657446,0.2400000000000091,0.16818357317442276,500,51.515151515151516,170.48000000000002,0.0014077897700610575,0.0014077897700610575,0.0014077897700610575
claude-3.5-sonnet,anchoring_v5,100,100,71.0,71.0,0.0,0.0,,120,69.01408450704226,49.0,0.0,0.0,0.0
deepseek-v3-together,anchoring_v1,100,100,2546140.79,2571700.525,625146.6250283441,25559.73499999987,0.041939466759728705,9000000,233.33333333333334,6453859.21,0.003960380009591171,0.003960380009591171,0.003960380009591171
deepseek-v3-together,anchoring_v2,100,100,10.299,12.604000000000001,2.2113798882374347,2.3050000000000015,1.1104692372185512,150,177.77777777777777,139.701,0.016499523983364482,0.016499523983364482,0.016499523983364482
deepseek-v3-together,anchoring_v3,100,100,53.47,53.48,5.300000000000002,0.00999999999999801,0.0019046755268776747,90,66.66666666666666,36.53,0.00027374760470840436,0.00027374760470840436,0.00027374760470840436
deepseek-v3-together,anchoring_v4,100,100,334.7283,329.64,147.50538003579751,-5.088300000000004,-0.04877382482991748,500,51.515151515151516,165.2717,0.030787485092729147,0.030787485092729147,0.030787485092729147
deepseek-v3-together,anchoring_v5,100,100,71.0,70.368,0.0,-0.632000000000005,-0.24826747489632991,120,69.01408450704226,49.0,0.012897959183673572,0.012897959183673572,0.012897959183673572
minimax-m2.5,anchoring_v4,7,7,328.2857142857143,330.0,2.9277002188455996,1.7142857142857224,0.828078671210829,500,51.515151515151516,171.71428571428572,0.009983361064891894,0.009983361064891894,0.009983361064891894
llama-3.1-8b,anchoring_v1,30,30,676017871.7666667,2774971.3,3689884735.955681,-673242900.4666667,-0.25803224423619275,9000000,233.33333333333334,667017871.7666667,1.0093326265509384,1.0093326265509384,1.0093326265509384
llama-3.1-8b,anchoring_v2,30,30,10.800000000000004,10.043333333333335,0.383270859476869,-0.7566666666666695,-1.0008127187449054,150,177.77777777777777,139.2,0.005435823754789293,0.005435823754789293,0.005435823754789293
llama-3.1-8b,anchoring_v3,30,30,54.46666666666667,54.86666666666667,0.571346463723366,0.3999999999999986,0.5308308360657061,90,66.66666666666666,35.53333333333333,0.01125703564727951,0.01125703564727951,0.01125703564727951
llama-3.1-8b,anchoring_v4,30,30,324.6,324.2,1.8307714597761882,-0.4000000000000341,-0.16329931618555915,500,51.515151515151516,175.39999999999998,0.0022805017103764776,0.0022805017103764776,0.0022805017103764776
llama-3.1-8b,anchoring_v5,30,30,71.02533333333332,68.53283333333333,0.05986959007786934,-2.4924999999999926,-0.8948590163137718,120,69.01408450704226,48.97466666666668,0.05089365930685236,0.05089365930685236,0.05089365930685236
