model,bias,n_trials,n_variants,coefficient,std_error,z_value,p_value,odds_ratio,control_mean,treatment_mean,significant_fdr
claude-3.5-sonnet,framing_effect,313,2,-0.010829771796801899,0.018252168980559324,-0.5933416356344751,0.552952539943439,0.9892286590606093,0.9847715736040609,0.9741379310344828,False
claude-3.5-sonnet,decoy_effect,790,4,0.2222137831427051,0.017636759623372487,12.599467696334887,2.1257426374099417e-36,1.248838329911242,0.764102564102564,0.9775,True
claude-3.5-sonnet,bandwagon_effect,410,3,0.4627901033226513,0.02713021673720357,17.058105646757657,3.042630485008501e-65,1.5884998865735072,0.010256410256410256,0.44651162790697674,True
deepseek-v3-together,framing_effect,563,3,0.28288951637635074,0.027195929150080695,10.401906653573972,2.4302109512174225e-25,1.3269585465293592,0.7118055555555556,0.9890909090909091,True
deepseek-v3-together,sunk_cost_fallacy,738,4,-0.002559578909773514,0.002719629634354614,-0.9411498085771224,0.3466280936302254,0.9974436940192886,0.0025575447570332483,0.0,False
deepseek-v3-together,status_quo_bias,498,3,-0.17060292228226867,0.027482794074558406,-6.207626554252014,5.379078787992884e-10,0.8431563055914038,0.377431906614786,0.1825726141078838,True
deepseek-v3-together,decoy_effect,614,4,-0.11191111104378194,0.03192745692344392,-3.5051683355841305,0.00045631866181246864,0.8941237316933559,0.8042895442359249,0.7261410788381742,True
deepseek-v3-together,bandwagon_effect,774,4,-0.06871118108463208,0.027348327013771725,-2.512445498038376,0.011989762360758457,0.933596281408734,0.6966580976863753,0.6311688311688312,True
deepseek-v3-together,authority_bias,778,4,0.0025449381334711326,0.0025708774983724133,0.9899103069213907,0.3222179612139936,1.0025481792374091,0.0,0.002544529262086514,False
deepseek-v3-together,primacy_recency,195,1,4.276666119016054,1.026295682677671,4.167089651841815,3.0851318755746035e-05,71.99999999999993,0.5789473684210527,0.99,True
gemini-2.5-flash,framing_effect,515,3,-0.3653039495587338,0.025346895368486732,-14.41217728041394,4.338157736543525e-47,0.6939856821758161,0.9896551724137931,0.6088888888888889,True
gemini-2.5-flash,status_quo_bias,504,3,0.017119851119774755,0.02055821656513588,0.8327498188149183,0.4049858412559628,1.0172672356366725,0.11304347826086956,0.30656934306569344,False
gemini-2.5-flash,decoy_effect,798,4,0.3065474873658603,0.0264725479432233,11.579825562062426,5.215206731367799e-31,1.3587259882633849,0.6030150753768844,0.91,True
gemini-2.5-flash,confirmation_bias,1000,5,0.076,0.013687515782193361,5.552505013281625,2.8160463774986863e-08,1.078962574157284,0.042,0.118,True
gemini-2.5-flash,bandwagon_effect,696,4,0.44271273015438656,0.027449933189587526,16.128007565509087,1.6216829094827413e-58,1.556925012485847,0.11695906432748537,0.53954802259887,True
gpt-4.1-mini,framing_effect,600,3,0.2966666666666666,0.020120813335447064,14.744268122801257,3.349309957532031e-49,1.3453667691074913,0.7033333333333334,1.0,True
gpt-4.1-mini,status_quo_bias,600,3,,,,,,0.3333333333333333,0.3333333333333333,False
gpt-4.1-mini,decoy_effect,800,4,0.2475,0.015609977037116671,15.855244335818439,1.2932364652086969e-56,1.2808193623837218,0.5,0.7475,True
gpt-4.1-mini,bandwagon_effect,800,4,-0.005000000000000003,0.0035243983496508037,-1.418681858279556,0.1559917886141985,0.9950124791926823,0.505,0.5,False
gpt-4.1-mini,primacy_recency,200,1,-17.858576426151007,3290.920465816897,-0.005426620488598778,0.9956702045456085,1.7543603504463188e-08,1.0,0.95,False
llama-3.1-8b,framing_effect,171,3,0.1804656703928171,0.05135081092040392,3.514368461922579,0.00044080092076057795,1.1977750016293771,0.7590361445783133,0.9318181818181818,True
llama-3.1-8b,sunk_cost_fallacy,239,4,0.024964807771901302,0.014350121617972892,1.739693114561063,0.08191291901788271,1.0252790380357497,0.0,0.025,False
llama-3.1-8b,status_quo_bias,170,3,0.2136938050134055,0.05565559195285151,3.839574740206441,0.00012324760634408434,1.2382434528041089,0.34523809523809523,0.5697674418604651,True
llama-3.1-8b,decoy_effect,234,4,0.8889895737790816,0.028695563842096067,30.98003505597419,1.0014109451139995e-210,2.4326703751066807,0.0782608695652174,0.9663865546218487,True
llama-3.1-8b,confirmation_bias,261,5,0.09700923292362115,0.036555013981410374,2.6537873292280523,0.007959397410905879,1.1018705470606467,0.0859375,0.21804511278195488,True
llama-3.1-8b,bandwagon_effect,230,4,-0.1127877505556387,0.03606791673161217,-3.127093571689004,0.0017654372854594778,0.8933402509669207,0.7203389830508474,0.6071428571428571,True
llama-3.1-8b,primacy_recency,49,1,24.01517087028648,144630.5006439625,0.00016604499578830003,0.9998675152620707,26894048945.467583,0.9545454545454546,1.0,False
llama-3.3-70b,framing_effect,97,3,-0.41468221274489575,0.05116592200528911,-8.104656312106119,5.2894825646533365e-16,0.6605501617772215,1.0,0.782608695652174,True
llama-3.3-70b,decoy_effect,66,4,0.08436447813421602,0.09854850789237163,0.8560705782207632,0.3919587415813218,1.088025383010194,0.6666666666666666,0.8055555555555556,False
llama-3.3-70b,confirmation_bias,100,5,,,,,,0.2,0.2,False
llama-3.3-70b,bandwagon_effect,41,4,1.3558361424517447e-16,7.149110565097244e-10,1.896510244324781e-07,0.9999998486803756,1.0000000000000002,0.3333333333333333,0.6538461538461539,False
minimax-m2.5,confirmation_bias,344,5,0.0,,,,1.0,0.004651162790697674,0.0,False
mistral-large,framing_effect,600,3,0.3333333333333333,0.01930948156592324,17.26267648332876,8.984810629456396e-67,1.3956124250860895,0.6666666666666666,1.0,True
mistral-large,status_quo_bias,600,3,-0.09999999999999994,0.016384637998003607,-6.103277961477359,1.0391489249313963e-09,0.9048374180359596,0.1,0.0,True
mistral-large,decoy_effect,732,4,0.5412973326222275,0.025471556348884133,21.2510505918081,3.22371298902267e-100,1.7182345385733173,0.2875,0.8644578313253012,True
mistral-large,bandwagon_effect,800,4,0.022500000000000013,0.007343225173696378,3.064048761652522,0.002183633152690955,1.022755034164446,0.4975,0.52,True
